latitude,longitude
40.71399749370774,-74.01420058198659
40.78298952588284,-73.97976126957316
40.815879201063886,-73.93953410641868
40.74640952434992,-73.98714180123756
40.805341169740075,-73.95540908262585
40.84478912011418,-73.94290897415767
40.77321532581981,-73.95029423556304
40.86231792284555,-73.92762014496648
40.71427292607987,-73.99288849892386
40.74917140262773,-73.97142636945732
40.763463818126496,-73.99378403711614
40.73360299263204,-73.97954980912428
40.72720203773158,-73.99376225813789
40.7627327736965,-73.97785464449453
40.8003009633452,-73.96666606239597
40.73039093857568,-74.00582875489158
40.80022739485364,-73.93555578103357
40.72481670614306,-73.97941044445965
40.823747380457945,-73.95069681258323
40.82447265514481,-73.93930726852847
40.768399522668446,-73.96793668995906
40.78379728890881,-73.9530645160131
40.77333417623867,-73.98527455878245
40.811499753562956,-73.96311244557883
40.810656602945755,-73.94593070063935
40.79074253250108,-73.94323594780077
40.744791662373764,-74.00336067461184
40.791977674410326,-73.97301625840028
40.71583620008601,-74.00107493566972
40.755084138333416,-73.98088916485361
40.83542088788101,-73.94589738198304
40.87015566544655,-73.91999615511182
40.75891237568006,-73.9651370400714
40.70568923482161,-74.01099728427145
40.735803557343324,-73.99012829128755
40.801741186388526,-73.94869834260518
40.8342456648885,-73.93804156091169
40.844814081858075,-73.93393228775706
40.776676364432355,-73.95978999712159
40.855123685629565,-73.93323037759681
