,0,1
0,40.73204992937002,-73.99067220541227
1,40.82525122973714,-73.9431242918932
2,40.77799945252079,-73.95568421575415
3,40.71551255703448,-73.99631872037224
4,40.813447367934295,-73.94150548625367
5,40.76355134366227,-73.99379460263947
6,40.86560615997691,-73.92489650974314
7,40.75475345870601,-73.97528386449495
8,40.79530500084774,-73.93997719535258
9,40.73549293336792,-74.00488683561589
10,40.80504568478418,-73.96491341964699
11,40.709821784450334,-74.01214432400381
12,40.85072768946083,-73.93417183709533
13,40.78921247399606,-73.97527468593815
14,40.80461686399046,-73.95137776423203
15,40.7737114880606,-73.98414341352182
16,40.74642876022627,-73.98763051213284
17,40.7662800869808,-73.96708934384029
18,40.72661266124741,-73.97907766296422
19,40.8390542059054,-73.94118281132185
